Delay time,Estimated Surface (sq m),Estimated Height (m),Floors,Num of Workers,Bad Weather Factor (%),Design Variation Factor (%),Material Factor (%),Gov Regulation Factor (%),Site Condition Factor (%)
14,2186,16,4,109,0.24,0.48,0.01,0.44,0.57
22,1043,18,6,52,0.24,0.4,0.04,0.01,0.13
13,804,14,1,26,0.24,0.32,0.02,0.35,0.86
148,914,16,5,43,0.24,0.76,0.04,0.33,0.33
72,1600,15,1,35,0.24,0.16,0.11,0.85,0.21
32,2744,28,6,54,0.24,0.24,0.04,0.79,0.15
141,929,14,1,74,0.24,0.24,0.01,0.56,0.32
18,2843,22,5,42,0.24,0.08,0.02,0.17,0.13
16,1285,27,6,98,0.24,0.52,0.02,0.55,0.12
138,787,18,5,131,0.24,0.24,0.01,0.27,0.31
0,2192,24,6,68,0.24,0.32,0.03,0.87,0.5
16,2821,7,6,112,0.24,0.32,0.03,0.63,0.58
51,2549,7,3,94,0.24,0.16,0.09,0.8,0.18
12,1882,11,2,118,0.24,0.32,0.03,0.18,0.12
134,70,18,1,112,0.24,0.48,0.01,0.1,0.31
1,976,10,6,35,0.24,0.32,0.01,0.14,0.1
57,713,25,4,39,0.24,0.4,0.07,0.9,0.19
15,884,24,4,142,0.24,0.32,0.04,0.77,0.12
2,1757,27,2,37,0.24,0.16,0.02,0.92,0.1
0,2632,6,3,141,0.24,0.48,0.02,0.39,0.5
9,645,7,3,50,0.24,0.24,0.02,0.37,0.11
27,1065,5,4,126,0.24,0.24,0.04,0.02,0.72
21,2059,27,2,60,0.24,0.68,0.07,0.32,0.13
75,1220,26,5,107,0.24,0.16,0.11,0.12,0.88
24,171,29,2,75,0.24,0.16,0.03,0.61,0.14
11,2311,24,3,12,0.24,0.24,0.04,0.1,0.12
115,2222,30,5,83,0.24,0.16,0.18,0.87,0.28
9,57,30,6,55,0.24,0.16,0.03,0.14,0.11
143,2673,15,3,32,0.24,0.24,0.02,0.92,0.27
24,1045,21,3,54,0.24,0.4,0.03,0.76,0.14
19,1213,12,1,106,0.24,0.32,0.05,0.16,0.13
4,2553,27,4,48,0.24,0.32,0.03,0.81,0.11
26,1734,26,4,126,0.24,0.4,0.05,0.81,0.14
15,1490,20,2,119,0.24,0.48,0.04,0.68,0.12
148,2909,23,3,109,0.24,0.24,0.02,0.16,0.33
20,1838,14,6,15,0.24,0.24,0.03,0.97,0.13
18,1867,7,2,115,0.24,0.16,0.03,0.85,0.79
138,628,21,4,138,0.24,0.24,-0.0,0.12,0.31
148,495,26,6,111,0.24,0.16,0.03,0.17,0.33
138,2003,24,4,61,0.24,0.32,0.02,0.92,0.31
84,481,9,3,114,0.24,0.16,0.11,0.86,0.23
132,2024,21,3,81,0.24,0.32,0.01,0.23,0.3
21,2688,11,6,23,0.24,0.32,0.05,0.58,0.13
3,2059,23,5,111,0.24,0.32,0.03,0.65,0.3
3,566,28,1,126,0.24,0.24,0.02,0.29,0.1
133,844,27,6,23,0.24,0.32,0.01,0.74,0.3
5,1972,24,1,117,0.24,0.32,0.02,0.58,0.11
140,996,25,1,23,0.24,0.4,0.02,0.02,0.32
20,2626,27,2,119,0.24,0.48,0.05,0.75,0.13
2,2293,18,3,67,0.24,0.4,0.03,0.52,0.1
19,2010,8,3,145,0.24,0.32,0.05,0.61,0.13
10,2525,24,6,102,0.24,0.4,0.02,0.45,0.12
138,1182,10,4,121,0.24,0.24,0.01,0.57,0.31
39,1766,29,4,50,0.24,0.4,0.05,0.51,0.16
144,92,27,4,20,0.24,0.16,0.02,0.47,0.3
6,2970,30,6,142,0.24,0.32,0.05,0.59,0.47
34,1349,16,5,54,0.24,0.24,0.08,0.69,0.15
0,775,9,1,115,0.24,0.48,0.03,0.96,0.45
139,2387,24,2,23,0.24,0.4,0.03,0.02,0.31
16,2536,12,4,28,0.24,0.52,0.04,0.22,0.03
4,2261,15,2,108,0.24,0.48,0.02,0.13,0.2
144,2945,11,1,44,0.24,0.16,0.04,0.91,0.44
31,1749,9,4,20,0.24,0.24,0.07,0.05,1.0
0,2906,20,2,80,0.24,0.24,0.05,0.72,0.5
148,389,11,6,118,0.24,0.24,0.04,0.84,0.33
77,1282,5,3,53,0.24,0.16,0.14,0.71,0.22
10,655,21,3,114,0.24,0.24,0.05,0.21,0.12
145,296,14,2,32,0.24,0.32,0.04,0.12,0.32
8,1817,28,5,101,0.24,0.24,0.03,0.12,0.97
143,2194,16,4,32,0.24,0.24,0.01,0.43,0.02
14,1412,27,5,41,0.24,0.48,0.05,0.12,0.12
148,2218,25,2,104,0.24,0.32,0.02,0.88,0.63
8,1642,11,4,74,0.24,0.4,0.04,0.1,0.11
144,2221,12,1,99,0.24,0.24,0.03,0.14,0.31
13,2945,26,1,73,0.24,0.16,0.03,0.12,0.12
144,2564,8,3,133,0.24,0.16,0.04,0.69,0.32
20,2521,17,1,100,0.24,0.24,0.06,0.55,0.13
13,2073,5,5,145,0.24,0.24,0.07,0.62,0.12
133,2515,8,4,89,0.24,0.4,0.03,0.23,0.84
135,2856,29,6,94,0.24,0.24,0.01,0.97,0.9
139,363,13,3,118,0.24,0.16,0.01,0.3,0.31
127,653,10,6,38,0.24,0.24,0.02,0.83,0.3
135,1920,26,5,123,0.24,0.24,0.05,0.76,0.31
140,1003,12,3,137,0.24,0.4,0.03,0.42,0.32
25,445,15,3,28,0.24,0.48,0.08,0.47,0.64
5,1736,18,5,80,0.24,0.08,0.03,0.74,0.76
149,542,28,1,112,0.24,0.4,-1.26,0.75,0.33
149,1472,27,6,84,0.24,0.4,-1.26,0.33,0.33
117,439,18,4,83,0.24,0.24,-0.01,0.21,0.63
136,791,8,6,73,0.24,0.4,0.02,0.3,0.31
119,1862,9,3,99,0.24,0.52,0.01,0.14,0.28
134,792,29,1,85,0.24,0.4,0.03,0.11,0.31
135,2079,28,5,97,0.24,0.32,0.01,0.59,0.31
136,1738,25,3,128,0.24,0.24,0.01,0.86,0.31
127,2252,8,6,124,0.24,0.32,-0.01,0.86,0.94
110,1879,21,4,11,0.24,0.08,0.01,0.77,0.2
144,359,6,1,118,0.24,0.32,0.02,0.38,0.32
131,1411,23,3,70,0.24,0.16,0.0,0.34,0.3
137,1033,14,6,67,0.24,0.24,0.01,0.38,0.12
134,2556,10,5,86,0.24,0.16,0.01,0.46,0.31
135,2677,7,2,79,0.24,0.16,0.02,0.68,0.17
135,2005,16,5,52,0.24,0.32,-0.01,0.95,0.82
144,293,28,2,117,0.24,0.4,0.02,0.4,0.32
18,2338,13,2,105,0.24,0.16,0.05,0.22,0.13
102,2459,11,4,64,0.24,0.24,0.03,0.51,0.26
19,1704,10,2,19,0.24,0.16,0.05,0.31,0.13
115,559,5,1,46,0.24,0.52,0.02,0.01,0.28
14,2092,5,4,13,0.24,0.32,0.04,0.6,0.12
91,1988,7,3,53,0.24,0.48,0.16,0.42,0.24
5,2523,14,2,130,0.24,0.32,0.02,0.23,0.11
19,2503,17,3,57,0.24,0.08,0.05,0.94,0.13
20,33,25,6,28,0.24,0.4,0.05,0.32,0.13
136,461,25,5,14,0.24,0.4,0.03,0.48,0.31
7,301,16,5,133,0.24,0.16,0.03,0.77,0.11
137,2309,17,1,113,0.24,0.16,0.01,0.76,0.31
126,1707,12,5,83,0.24,0.16,0.0,0.0,0.99
4,520,10,5,134,0.24,0.32,0.03,0.54,0.11
2,796,27,3,24,0.24,0.4,0.02,0.14,0.44
138,1486,20,4,30,0.24,0.16,0.0,0.47,0.31
118,159,18,3,67,0.24,0.64,0.02,0.43,0.13
8,2921,11,3,72,0.24,0.52,0.02,0.97,0.13
5,2300,28,1,141,0.24,0.16,0.02,0.38,0.9
131,1582,30,5,49,0.24,0.64,0.02,0.04,0.25
139,2554,26,3,102,0.24,0.48,0.01,0.69,0.31
29,223,20,5,99,0.24,0.32,0.05,0.14,0.53
4,812,24,6,89,0.24,0.32,0.03,0.01,0.11
148,57,22,3,30,0.24,0.32,0.01,0.11,0.33
145,739,24,6,73,0.24,0.52,0.02,0.17,0.32
143,2927,27,6,63,0.24,0.16,0.02,0.02,0.32
24,2089,9,2,28,0.24,0.24,0.05,0.26,0.9
1,192,14,5,64,0.24,0.16,0.02,0.38,0.18
148,2723,11,2,140,0.24,0.24,0.02,0.67,0.33
95,1021,25,1,125,0.24,0.24,0.08,0.07,0.25
147,2946,21,5,82,0.24,0.4,0.03,0.51,0.99
14,1485,21,5,19,0.24,0.52,0.05,0.11,0.12
41,1517,26,5,134,0.24,0.52,0.07,0.95,0.16
130,437,8,5,90,0.24,0.32,-0.01,0.32,0.3
141,216,26,1,141,0.24,0.16,0.01,0.26,0.32
142,1498,11,2,53,0.24,0.16,0.02,0.79,0.32
4,1207,29,3,91,0.24,0.16,0.03,0.33,0.11
140,1801,17,3,56,0.24,0.16,0.02,0.2,0.32
16,1862,22,5,85,0.24,0.16,0.03,0.76,0.12
147,1700,17,5,50,0.24,0.4,0.02,0.59,0.52
39,2453,5,1,11,0.24,0.32,0.09,0.12,0.16
129,2779,18,5,140,0.24,0.16,0.0,0.64,0.3
140,719,24,4,128,0.24,0.4,0.02,0.76,0.32
139,2069,28,1,87,0.24,0.16,-0.0,0.37,0.31
9,742,24,2,95,0.24,0.32,0.02,0.07,0.11
0,1099,17,1,74,0.24,0.24,0.04,0.59,0.5
142,1280,16,5,72,0.24,0.24,0.01,0.06,0.32
118,1181,12,5,117,0.24,0.52,0.02,0.32,0.28
147,1249,10,4,111,0.24,0.32,0.04,0.12,0.33
149,157,28,6,103,0.24,0.52,0.01,0.2,0.33
5,1894,21,5,135,0.24,0.24,0.03,0.32,0.11
147,1066,11,5,82,0.24,0.24,0.05,0.54,0.33
18,675,27,3,86,0.24,0.24,0.07,0.81,0.13
2,1449,20,4,55,0.24,0.24,0.04,0.21,0.1
46,2317,19,2,16,0.24,0.48,0.08,0.54,0.17
6,2508,10,4,111,0.24,0.4,0.03,0.89,0.11
144,1906,27,5,67,0.24,0.24,0.01,0.81,0.32
5,467,15,4,17,0.24,0.16,0.04,0.97,0.11
2,1388,19,4,62,0.24,0.4,0.03,0.34,0.57
7,194,17,6,12,0.24,0.4,0.02,0.17,0.11
48,175,17,2,49,0.24,0.48,0.1,0.38,0.79
134,2941,20,2,53,0.24,0.24,0.05,0.81,0.5
3,1199,17,2,93,0.24,0.48,0.01,0.59,0.1
35,1423,28,4,119,0.24,0.24,0.09,0.34,0.15
1,2535,9,3,82,0.24,0.16,0.01,0.36,0.1
132,85,30,5,110,0.24,0.16,0.02,0.58,0.24
10,1937,5,3,108,0.24,0.24,0.01,0.93,0.91
149,1954,24,2,36,0.24,0.24,0.02,0.4,0.33
21,2623,28,4,20,0.24,0.48,0.06,0.75,0.26
19,1265,24,3,120,0.24,0.24,0.05,0.79,0.04
0,2288,22,4,19,0.24,0.4,0.03,0.74,0.5
0,1428,27,1,97,0.24,0.52,0.07,0.87,0.5
141,2742,15,4,72,0.24,0.24,0.0,0.62,0.32
17,2051,15,2,84,0.24,0.24,0.05,0.94,0.13
9,2541,24,4,139,0.24,0.16,0.04,0.25,0.11
144,1914,18,5,95,0.24,0.64,0.04,0.23,0.11
131,1903,30,4,28,0.24,0.4,0.02,0.74,0.0
280,2973,6,3,127,0.24,0.24,0.4,0.59,0.87
19,461,15,5,108,0.24,0.16,0.06,0.99,0.14
135,2073,22,5,90,0.24,0.64,0.04,0.37,0.51
144,95,27,4,148,0.24,0.4,0.02,0.23,0.63
130,2690,30,4,141,0.24,0.4,0.02,0.84,0.3
111,2848,23,2,118,0.24,0.64,0.02,0.95,0.27
10,1898,14,1,94,0.24,0.16,0.05,0.01,0.12
146,1545,28,4,53,0.24,0.24,0.01,0.17,0.32
131,1962,18,3,143,0.24,0.24,0.0,0.55,0.3
144,2395,15,6,57,0.24,0.24,0.03,0.04,0.93
144,2473,27,4,90,0.24,0.24,0.01,0.34,0.32
0,1872,9,1,86,0.24,0.16,0.03,0.52,0.5
120,2866,14,1,41,0.24,0.32,-0.01,0.9,0.28
26,31,10,2,117,0.24,0.24,0.07,0.09,0.14
141,2951,28,1,139,0.24,0.48,0.02,0.17,0.32
7,2579,5,3,35,0.24,0.32,0.02,0.74,0.9
148,957,26,4,102,0.24,0.24,0.01,0.37,0.33
128,787,21,3,15,0.24,0.32,0.0,0.41,0.3
11,860,30,4,52,0.24,0.4,0.03,0.76,0.12
148,360,13,3,115,0.24,0.32,0.02,0.62,0.33
138,2635,28,1,67,0.24,0.32,-0.0,0.94,0.52
43,1308,26,4,144,0.24,0.4,0.09,0.19,0.17
131,2429,22,4,88,0.24,0.68,0.01,0.58,0.3
9,2698,9,4,37,0.24,0.48,0.04,0.99,0.11
26,751,20,2,62,0.24,0.48,0.05,0.85,0.55
3,342,24,2,44,0.24,0.16,0.04,0.2,0.1
17,349,30,5,98,0.24,0.24,0.06,0.33,0.13
140,1666,7,5,87,0.24,0.4,0.02,0.73,0.32
75,2944,20,6,70,0.24,0.24,0.11,0.61,0.22
149,947,8,4,59,0.24,0.68,0.03,0.5,0.33
2,1289,23,2,28,0.24,0.24,0.04,0.69,0.1
147,1173,12,1,90,0.24,0.4,0.01,0.16,0.33
30,1329,21,1,147,0.24,0.16,0.05,0.87,0.15
12,2614,27,1,142,0.24,0.48,0.04,0.96,0.12
2,1155,20,6,115,0.24,0.32,0.02,0.55,0.88
22,1447,30,2,88,0.24,0.32,0.03,0.81,0.13
122,2809,18,2,107,0.24,0.24,0.02,0.59,0.29
20,489,16,5,111,0.24,0.4,0.05,0.59,0.13
143,580,23,2,14,0.24,0.24,0.03,0.99,0.71
42,533,21,6,51,0.24,0.24,0.07,0.37,0.16
42,108,26,3,115,0.24,0.16,0.1,0.8,0.16
23,1178,26,1,20,0.24,0.16,0.08,0.65,0.14
2,381,12,6,99,0.24,0.24,0.04,0.32,0.71
139,564,21,4,97,0.24,0.32,0.0,0.27,0.31
63,1701,30,5,28,0.24,0.16,0.11,0.63,0.2
133,2238,21,3,122,0.24,0.16,0.02,0.85,0.81
1,1614,26,4,52,0.24,0.16,0.04,0.81,0.99
7,1863,25,3,132,0.24,0.24,0.04,0.96,0.11
130,2437,9,5,21,0.24,0.24,0.0,0.66,0.3
10,1888,8,4,42,0.24,0.48,0.06,0.41,0.26
42,765,10,3,75,0.24,0.4,0.09,0.31,0.16
28,1786,24,5,99,0.24,0.32,0.04,0.55,0.14
0,1642,27,1,118,0.24,0.32,0.02,0.07,0.5
66,1599,18,4,75,0.24,0.4,0.13,0.84,0.2
138,636,12,3,51,0.24,0.4,0.01,0.11,0.31
4,2950,8,4,50,0.24,0.24,0.06,0.53,0.11
138,2682,20,6,114,0.24,0.24,0.02,0.52,0.31
39,2279,28,4,140,0.24,0.32,0.08,0.43,0.16
8,1363,15,3,125,0.24,0.4,0.03,0.11,0.09
146,1027,10,4,88,0.24,0.24,0.02,0.1,0.32
138,2328,30,2,118,0.24,0.24,0.03,0.02,0.31
45,230,21,1,91,0.24,0.24,0.08,0.23,0.17
3,2723,20,5,82,0.24,0.16,0.04,0.73,0.1
33,2734,18,5,118,0.24,0.32,0.08,0.99,0.15
12,368,27,4,69,0.24,0.52,0.0,0.53,0.12
23,2449,27,5,33,0.24,0.24,0.06,0.82,0.14
45,1494,12,2,26,0.32,0.16,0.1,1.0,0.17
139,1685,20,1,70,0.32,0.08,0.02,0.46,0.31
4,1894,14,4,132,0.32,0.24,0.04,0.87,0.11
127,997,27,4,46,0.32,0.16,0.0,0.47,0.3
4,688,26,6,26,0.32,0.24,0.05,0.98,0.11
8,2555,24,4,91,0.32,0.16,0.01,0.27,0.11
144,2523,26,5,10,0.32,0.16,0.03,0.03,0.32
141,72,12,3,47,0.32,0.08,0.03,0.19,0.32
143,432,27,3,72,0.32,0.24,0.03,0.24,0.32
5,1629,20,2,85,0.32,0.24,0.02,0.09,0.11
7,1619,16,4,131,0.32,0.24,0.04,0.32,0.11
133,2872,9,5,15,0.32,0.24,0.02,0.25,0.3
16,879,24,6,106,0.32,0.52,0.06,0.58,0.92
141,855,15,2,142,0.32,0.16,0.02,0.77,0.32
9,1494,30,2,14,0.32,0.32,0.04,0.62,0.11
131,2427,30,6,136,0.32,0.48,0.01,0.97,0.3
139,691,5,5,134,0.32,0.24,0.02,0.24,0.36
6,1210,14,4,48,0.32,0.32,0.02,0.05,0.11
143,599,29,3,22,0.32,0.52,0.01,0.83,0.32
149,285,8,1,118,0.32,0.16,0.01,0.36,0.72
12,670,30,3,92,0.32,0.16,0.02,0.46,0.12
138,1910,27,4,141,0.32,0.08,-0.0,0.73,0.31
7,198,10,4,71,0.32,0.16,0.03,0.28,0.11
144,2676,25,6,104,0.32,0.08,0.01,0.72,0.51
140,1961,29,4,127,0.32,0.4,0.01,0.88,0.32
140,1287,10,6,66,0.32,0.24,0.02,0.18,0.32
138,1424,13,1,130,0.32,0.16,0.02,0.5,0.31
136,2288,24,6,127,0.32,0.4,0.02,0.93,0.31
144,2625,15,4,24,0.32,0.32,0.03,0.99,0.33
57,1444,20,2,86,0.32,0.24,0.09,0.52,0.11
101,574,11,5,112,0.32,0.16,0.01,0.47,0.64
133,965,14,2,131,0.32,0.08,0.02,0.61,0.65
13,2793,9,3,144,0.32,0.64,0.08,0.78,0.51
9,1737,6,6,123,0.32,0.24,0.04,0.5,0.94
6,698,8,6,117,0.32,0.32,0.0,0.3,0.11
135,1591,9,5,142,0.32,0.32,0.02,1.0,0.31
152,822,23,5,129,0.32,0.24,0.28,0.22,0.33
133,461,10,2,42,0.32,0.24,0.03,0.53,0.41
17,2029,6,5,111,0.32,0.16,0.06,0.59,0.13
35,2086,7,3,88,0.32,0.4,0.06,0.59,0.15
14,2587,5,1,50,0.32,0.32,0.05,0.67,0.12
12,2260,22,5,38,0.32,0.4,0.04,0.85,0.12
126,885,11,5,123,0.32,0.24,0.0,0.07,0.29
139,1238,15,2,102,0.32,0.4,0.03,0.74,0.31
3,1522,10,1,143,0.32,0.32,0.05,0.52,0.1
129,594,6,1,83,0.32,0.68,0.02,0.3,0.3
11,443,17,5,121,0.32,0.32,0.04,0.14,0.12
142,2090,15,3,116,0.32,0.24,0.02,0.85,0.32
0,2994,8,5,112,0.32,0.08,0.02,0.11,0.5
5,288,12,5,122,0.32,0.16,0.03,0.33,0.05
144,2965,6,6,62,0.32,0.24,0.02,1.0,0.32
131,861,14,5,75,0.32,0.32,0.03,0.29,0.3
93,605,18,4,96,0.32,0.24,0.0,0.21,0.24
7,2282,20,5,136,0.32,0.24,0.03,0.88,0.11
125,2950,12,4,78,0.32,0.24,0.01,0.74,0.29
43,946,8,1,120,0.32,0.32,0.12,0.57,0.17
138,1539,26,4,26,0.32,0.16,0.03,0.11,0.31
141,2172,21,4,93,0.32,0.16,0.03,0.16,0.32
146,1354,17,5,67,0.32,0.24,0.04,0.85,0.32
146,2032,7,6,42,0.32,0.16,0.02,0.19,0.85
149,770,14,3,146,0.32,0.16,0.04,0.62,0.18
136,2063,22,6,143,0.32,0.16,0.01,0.33,0.31
141,977,19,5,64,0.32,0.48,0.02,0.04,0.57
133,1688,11,1,143,0.32,0.16,0.01,0.36,0.3
35,855,23,2,13,0.32,0.24,0.08,0.05,0.15
45,1512,17,5,47,0.32,0.24,0.09,0.18,0.17
127,2736,11,3,70,0.32,0.16,0.01,0.2,0.3
114,2477,11,5,22,0.32,0.24,0.01,0.79,0.28
136,462,6,6,85,0.32,0.24,0.01,0.48,0.31
131,2111,27,4,25,0.32,0.24,-0.0,0.17,0.2
132,2370,7,3,142,0.32,0.24,0.02,0.91,0.44
138,2810,25,6,109,0.32,0.24,0.02,0.76,0.31
140,2017,11,6,40,0.32,0.24,0.02,0.66,0.32
65,2396,9,4,125,0.32,0.24,0.11,0.95,0.2
146,1739,19,6,113,0.32,0.48,0.01,0.18,0.44
4,505,10,6,19,0.32,0.68,0.06,0.5,0.11
18,447,16,6,12,0.32,0.24,0.05,0.49,0.13
137,2385,7,4,140,0.32,0.16,0.04,0.19,0.05
32,1097,18,4,138,0.32,0.68,0.09,0.03,0.15
131,1806,29,1,79,0.32,0.32,0.01,0.28,0.3
115,1235,25,6,52,0.32,0.16,-0.0,0.87,0.28
145,1368,25,4,34,0.32,0.08,0.02,0.98,0.32
56,1792,11,2,28,0.32,0.24,0.11,0.35,0.77
105,25,9,1,143,0.32,0.4,0.16,0.47,0.26
17,2637,18,3,134,0.32,0.24,0.04,0.75,0.11
122,1538,20,4,127,0.32,0.24,0.01,0.11,0.29
30,571,8,1,112,0.32,0.32,0.09,0.8,0.27
138,2961,5,3,36,0.32,0.24,0.01,0.02,0.56
9,1997,14,3,61,0.32,0.64,0.05,0.64,0.11
146,652,14,3,38,0.32,0.4,0.04,0.42,0.32
144,2909,26,5,33,0.32,0.16,0.02,0.8,0.32
17,2014,23,2,13,0.32,0.4,0.06,0.08,0.05
132,283,14,3,74,0.32,0.4,0.04,0.68,0.3
10,356,14,3,16,0.32,0.24,0.05,0.09,0.12
19,1548,30,2,137,0.32,0.52,0.05,0.9,0.13
1,391,28,3,137,0.32,0.76,0.02,0.77,0.1
33,499,21,3,119,0.32,0.32,0.08,0.32,0.17
18,2771,11,4,76,0.32,0.24,0.05,0.17,0.13
137,1593,27,4,132,0.32,0.52,0.02,0.97,0.31
71,464,6,3,92,0.32,0.24,0.14,0.16,0.21
3,2858,16,3,61,0.32,0.16,0.05,0.16,0.28
121,571,16,4,23,0.32,0.32,0.01,0.33,0.72
143,464,20,4,27,0.32,0.16,0.03,0.37,0.32
123,1098,5,4,140,0.32,0.16,0.01,0.34,0.29
135,534,23,6,15,0.32,0.4,0.02,0.82,0.85
5,2903,17,4,135,0.32,0.16,0.04,0.7,0.11
28,2808,8,2,77,0.32,0.48,0.04,0.14,0.14
141,789,16,5,138,0.32,0.32,0.04,0.98,0.32
126,2885,11,1,95,0.32,0.52,0.01,0.38,0.29
26,2911,30,1,48,0.32,0.4,0.06,0.0,0.96
140,1450,9,4,52,0.32,0.24,0.01,0.57,0.32
141,191,25,4,136,0.32,0.16,0.03,0.17,0.35
123,2651,13,4,150,0.32,0.24,0.0,0.5,0.29
118,322,15,3,97,0.32,0.24,-0.0,0.08,0.28
144,350,26,3,34,0.32,0.16,0.02,0.37,0.32
10,98,18,2,103,0.32,0.92,0.06,0.09,0.12
142,140,11,5,79,0.32,0.24,0.03,0.2,0.95
123,742,23,6,41,0.32,0.32,0.01,0.75,0.29
139,814,11,1,146,0.32,0.16,0.04,0.91,0.31
142,2915,5,4,110,0.32,0.16,0.04,0.77,0.32
14,535,18,3,23,0.32,0.08,0.05,0.99,0.12
140,1031,14,1,35,0.32,0.24,0.02,0.18,0.32
31,2268,14,5,135,0.32,0.16,0.08,0.23,0.15
0,975,28,2,29,0.32,0.24,0.04,0.68,0.5
138,252,12,2,61,0.32,0.32,0.02,0.83,0.31
131,2880,17,4,127,0.32,0.4,0.01,0.02,0.3
148,229,16,4,40,0.32,0.24,0.03,0.16,0.33
137,371,19,5,71,0.32,0.48,0.01,0.99,0.31
3,1535,29,3,125,0.32,0.08,0.04,0.78,0.1
135,1296,24,2,125,0.32,0.16,0.02,0.78,0.64
137,2918,28,6,116,0.32,0.08,0.03,0.85,0.31
133,619,5,3,80,0.32,0.16,0.0,0.03,0.3
4,2118,18,5,111,0.32,0.16,0.04,0.96,0.11
132,2538,18,5,84,0.32,0.24,0.02,0.01,0.3
3,2469,19,6,68,0.32,0.16,0.04,0.57,0.1
149,2347,16,4,71,0.32,0.24,0.04,0.29,0.33
129,1740,6,2,103,0.32,0.4,0.01,0.43,0.3
73,981,11,5,64,0.32,0.32,0.13,0.37,0.21
26,2740,18,3,56,0.32,0.4,0.05,0.67,0.14
136,860,20,4,44,0.32,0.32,0.01,0.01,0.31
4,473,25,1,100,0.32,0.16,0.06,0.23,0.11
13,2492,24,6,98,0.32,0.48,0.06,0.93,0.12
143,1730,15,6,15,0.32,0.16,0.04,0.72,0.21
127,1803,8,3,129,0.32,0.24,0.01,0.5,0.3
23,2924,30,5,10,0.32,0.52,0.05,0.91,0.14
84,1379,9,1,26,0.32,0.16,0.12,0.77,0.23
13,1036,5,5,59,0.32,0.08,0.04,0.11,0.99
33,1547,21,1,67,0.32,0.24,0.06,0.76,0.15
29,1487,24,6,84,0.32,0.4,0.06,0.33,0.54
149,2430,24,6,125,0.32,0.32,0.01,0.11,0.33
12,1714,23,1,64,0.32,0.08,0.04,0.16,0.89
2,335,24,1,79,0.32,0.08,0.03,0.96,0.1
130,2663,26,1,30,0.32,0.32,0.01,0.57,0.3
139,476,10,5,32,0.32,0.16,0.02,0.28,0.52
127,1656,7,6,112,0.32,0.16,0.01,0.35,0.3
10,1741,11,2,138,0.32,0.4,0.05,0.24,0.12
6,2628,18,1,46,0.32,0.32,0.06,0.01,0.11
